"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"【诚信】征信539移动地址","启用","移动","启用","ALL","112.53.68.131-112.53.68.131","TCP(0)to(80-80)","10.20.24.145-10.20.24.145","80-80"
"【教育】一师一优课81端口和数据库","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(3306-3306,81-81)","10.30.0.235-10.30.0.235","3306-3306,80-80"
"【教育】远程诊断开通端口","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(8182-8182)","10.30.0.104-10.30.0.104","8182-8182"
"马成龙代办员","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8011-8011,64322-64322,64323-64323)","10.20.24.161-10.20.24.161","8080-8080,22-22,3306-3306"
"银桥网络新服务器","启用","联通","启用","ALL","123.132.252.26-123.132.252.26","TCP(0)to(7070-7070,8181-8181,63389-63389,6869-6869,211-211)","10.20.24.157-10.20.24.157","7070-7070,8181-8181,3389-3389,6869-6869,211-211"
"银桥科技测试服务器20160620gby","启用","联通","启用","ALL","123.132.252.3-123.132.252.3","TCP(0)to(57070-57070,8181-8181,53389-53389,6868-6868,211-211)","10.20.24.158-10.20.24.158","7070-7070,8181-8181,3389-3389,6868-6868,211-211"
"招才引智张金刚","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(53112-53112,8035-8035,53113-53113)","10.20.24.175-10.20.24.175","22-22,8080-8080,3306-3306"
"【智慧扶贫】测试","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(51022-51022,51023-51023,51204-51204)","10.20.24.156-10.20.24.156","8080-8080,22-22,3306-3306"
"【智慧扶贫】数据库服务器","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(61023-61023,61204-61204,61022-61022)","10.20.24.152-10.20.24.152","22-22,3306-3306,8080-8080"
"【教育】沂蒙学堂电信","启用","电信","启用","ALL","58.57.53.235-58.57.53.235","TCP(0)to(80-80)","10.20.24.155-10.20.24.155","80-80"
"【智慧扶贫】正式","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(61023-61023,61204-61204,61022-61022,30080-30080,30081-30081,30082-30082,30083-30083,30084-30084,30085-30085,30086-30086,30087-30087,30088-30088,30089-30089,30090-30090,30091-30091,30092-30092,30093-30093,30094-30094,30095-30095)","10.20.24.189-10.20.24.189","22-22,3306-3306,8080-8080,9080-9080,9081-9081,9082-9082,9083-9083,9084-9084,9085-9085,9086-9086,9087-9087,9088-9088,9089-9089,9090-9090,9091-9091,9092-9092,9093-9093,9094-9094,9095-9095"
"【智慧扶贫】电信","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(61023-61023,61204-61204,61022-61022,30080-30080,30081-30081,30082-30082,30083-30083,30084-30084,30085-30085,30086-30086,30087-30087,30088-30088,30089-30089,30090-30090,30091-30091,30092-30092,30093-30093,30094-30094,30095-30095)","10.20.24.189-10.20.24.189","22-22,3306-3306,8080-8080,9080-9080,9081-9081,9082-9082,9083-9083,9084-9084,9085-9085,9086-9086,9087-9087,9088-9088,9089-9089,9090-9090,9091-9091,9092-9092,9093-9093,9094-9094,9095-9095"
"【智慧扶贫】低配64G图片服务器","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(51000-51000,51023-51023,51204-51204,51022-51022,51024-51024)","10.20.24.191-10.20.24.191","51000-51000,22-22,3306-3306,8080-8080,21-21"
"【智慧扶贫】移动","启用","移动","启用","ALL","112.53.68.130-112.53.68.130","TCP(0)to(61023-61023,61204-61204,61022-61022,30080-30080,30081-30081,30082-30082,30083-30083,30084-30084,30085-30085,30086-30086,30087-30087,30088-30088,30089-30089,30090-30090,30091-30091,30092-30092,30093-30093,30094-30094,30095-30095)","10.20.24.189-10.20.24.189","22-22,3306-3306,8080-8080,9080-9080,9081-9081,9082-9082,9083-9083,9084-9084,9085-9085,9086-9086,9087-9087,9088-9088,9089-9089,9090-9090,9091-9091,9092-9092,9093-9093,9094-9094,9095-9095"
"【智慧扶贫】移动测试","启用","移动","禁用","ALL","112.53.68.130-112.53.68.130","TCP(0)to(51204-51204,51022-51022,51023-51023)","10.20.24.156-10.20.24.156","3306-3306,8080-8080,22-22"
"【智慧扶贫】sql集群171","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(52021-52021,52025-52025)","10.20.24.171-10.20.24.171","3306-3306,22-22"
"【智慧扶贫】sql集群172","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(52022-52022,52026-52026)","10.20.24.172-10.20.24.172","3306-3306,22-22"
"【智慧扶贫】临时数据库","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(51205-51205)","10.60.20.23-10.60.20.23","3306-3306"
"【智慧扶贫】远程服务","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(43389-43389)","172.18.10.12-172.18.10.12","3389-3389"
"【教育】蔡老师FTP","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(43321-43321,54389-54389)","10.30.0.45-10.30.0.45","21-21,63389-63389"
"【教育】教育FTP审核","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(43322-43322,54380-54380,54390-54390,54306-54306)","10.30.0.46-10.30.0.46","22-22,8080-8080,9090-9090,3306-3306"
"【教育】沂蒙学堂测试","启用","联通","启用","ALL","123.132.252.14-123.132.252.14","TCP(0)to(61129-61129,61130-61130)","10.20.24.160-10.20.24.160","22-22,80-80"
"建设局安置处移动","启用","移动","启用","ALL","112.53.68.131-112.53.68.131","TCP(0)to(8097-8097,806-809,53380-53380)","10.10.102.43-10.10.102.43","8097-8097,806-809,80-80"
"【教育】FTP移动","启用","移动","启用","ALL","112.53.68.133-112.53.68.133","TCP(0)to(54380-54380)","10.30.0.46-10.30.0.46","8080-8080"
"【扶贫】图片服务器联通地址","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(41000-41000,41023-41023,41204-41204,41022-41022,41024-41024)","10.20.24.191-10.20.24.191","51000-51000,22-22,3306-3306,8080-8080,21-21"
"【扶贫】图片服务器电信地址","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(41000-41000,41023-41023,41204-41204,41022-41022,41024-41024)","10.20.24.191-10.20.24.191","51000-51000,22-22,3306-3306,8080-8080,21-21"
"【扶贫】图片服务器移动地址","启用","移动","启用","ALL","112.53.68.130-112.53.68.130","TCP(0)to(41000-41000,41023-41023,41204-41204,41022-41022,41024-41024)","10.20.24.191-10.20.24.191","51000-51000,22-22,3306-3306,8080-8080,21-21"
"【教育】资源上传联通","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(5380-5380)","10.30.0.46-10.30.0.46","8080-8080"
"【教育】资源上传移动","启用","移动","启用","ALL","112.53.68.132-112.53.68.132","TCP(0)to(54380-54380)","10.30.0.46-10.30.0.46","8080-8080"
"【教育】资源上传电信","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(54380-54380)","10.30.0.46-10.30.0.46","8080-8080"
"【教育】沂蒙学堂","启用","联通","启用","ALL","123.132.252.14-123.132.252.14","TCP(0)to(61128-61128,80-80)","10.20.24.155-10.20.24.155","22-22,80-80"
"【教育】微课存储服务器","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(61189-61189,61190-61190)","10.60.20.44-10.60.20.44","3389-3389,61190-61190"
