"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"可信云众测2——勿删","启用","联通","启用","ALL","123.132.252.16-123.132.252.16","TCP(0)to(22-22)","10.20.24.103-10.20.24.103","22-22"
"可信云众测3——勿删","启用","联通","启用","ALL","123.132.252.17-123.132.252.17","TCP(0)to(22-22)","10.20.24.105-10.20.24.105","22-22"
"临沂市委党校学习平台电信20150625","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(8810-8810)","10.10.102.15-10.10.102.15","8810-8810"
"社区微信公共平台","启用","联通","启用","ALL","123.132.252.15-123.132.252.15","TCP(0)to(53699-53699,80-80)","10.20.24.77-10.20.24.77","22-22,80-80"
"德州市安全生产综合监管信息平台","启用","联通","启用","ALL","123.132.252.3-123.132.252.3","TCP(0)to(8088-8088,63306-63306)","10.20.24.121-10.20.24.121","8088-8088,3389-3389"
"兰山华德电器电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(3489-3489,2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915)","10.10.102.44-10.10.102.44","3489-3489,2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915"
"临沂市发展和改革委员会项目","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(20374-20374,20375-20375)","10.20.24.130-10.20.24.130","22-22,20375-20375"
"德州安监局备份-lts","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(873-873)","10.20.24.133-10.20.24.133","873-873"
"东夷博物馆手机APP","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(20376-20376,7066-7066,7067-7067,7068-7068)","10.20.24.131-10.20.24.131","3389-3389,7066-7066,7067-7067,7068-7068"
"临沂亿联汽配商城-lts","启用","联通","启用","ALL","123.132.252.18-123.132.252.18","TCP(0)to(60333-60333,8095-8095,80-80)","10.20.24.88-10.20.24.88","22-22,3306-3306,80-80"
"(社)开发区智慧民生云平台 xt","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(20412-20412,2065-2065,2066-2066,24412-24412)","10.40.0.21-10.40.0.21","22-22,2065-2065,2066-2066,3306-3306"
"iamtop.com等公用2015818-lts","启用","联通","启用","ALL","123.132.252.7-123.132.252.7","TCP(0)to(65321-65321,80-80,82-82,65323-65323)","10.20.24.89-10.20.24.89","21-21,80-80,82-82,3306-3306"
"vmwear-ltsoracle2015825-lts","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(1521-1521)","10.20.23.173-10.20.23.173","1521-1521"
"天宝热泵","启用","联通","启用","ALL","123.132.252.22-123.132.252.22","TCP(0)to(63316-63316,8082-8082,42038-42038,42039-65534)","10.20.24.84-10.20.24.84","3306-3306,8080-8080,3389-3389,42039-65534"
"vmwear-lts2015825-lts","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(1522-1522)","10.20.23.176-10.20.23.176","22-22"
"征信平台15831-lts","启用","联通","启用","ALL","123.132.252.19-123.132.252.19","TCP(0)to(80-80,55122-55122)","10.20.24.143-10.20.24.143","80-80,22-22"
"联通临沂党性教育基地办公室20150909-gby","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8083-8083,62234-62234,62235-62235)","10.20.24.91-10.20.24.91","8080-8080,22-22,3306-3306"
"【教育】云平台远程接入","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(42039-42039)","10.30.0.104-10.30.0.104","3389-3389"
"【教育】智慧教育云平台150909-lts","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(80-80)","10.30.0.38-10.30.0.38","80-80"
"(社)网上信息发布与咨询办理展示平台","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50000-50000,50001-50001,80-80,60002-60002,60003-60003)","10.40.0.38-10.40.0.38","22-22,3306-3306,80-80,60002-60002,60003-60003"
"(社)李官镇社区网格化管理系统","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(53696-53696,53697-53697)","10.40.0.75-10.40.0.75","22-22,53697-53697"
"(社)临沂市殡仪馆殡葬管理系统","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(53710-53710,20370-20370)","10.40.0.126-10.40.0.126","22-22,8080-8080"
"(社)数据交换平台SIB服务器","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(53711-53711,20371-20371,20372-20372,20373-20373)","10.40.0.125-10.40.0.125","22-22,8060-8060,1099-1099,8080-8080"
"(社)社区微信公共平台","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(53699-53699)","10.40.0.77-10.40.0.77","22-22"
"建设局安置处","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(63399-63399,8097-8097,806-806,807-807,808-808,809-809)","10.10.102.43-10.10.102.43","63399-63399,8097-8097,806-806,807-807,808-808,809-809"
"郯城县建设局-ljl-mcl","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8008-8008,8007-8007,8806-8806,46353-46353)","10.20.24.125-10.20.24.125","8080-8080,80-80,3306-3306,22-22"
"(社)电信社区管理平台201509013-gby","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(50000-50000,50001-50001,50002-50002)","10.40.0.38-10.40.0.38","22-22,3306-3306,80-80"
"民生银行微信平台20150915-ljl","禁用","联通","启用","ALL","123.132.252.23-123.132.252.23","TCP(0)to(65222-65222,8090-8090,80-80)","10.20.24.124-10.20.24.124","3389-3389,8090-8090,80-80"
"【教育】云平台端口映射20150918-ljl","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(11116-11116)","10.30.0.21-10.30.0.21","11116-11116"
"【教育】云平台端口映射数据库-ljl","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(11117-11117)","10.30.0.101-10.30.0.101","3306-3306"
"经信委-工业运行平台(物理机)","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(44443-44443,8060-8060)","10.10.102.6-10.10.102.6","44444-44444,8060-8060"
"(社)困难群众综合救助管理20150924-gby","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50007-50007,8806-8806)","10.40.0.13-10.40.0.13","22-22,8806-8806"
"(社)社区云平台移动APP系统","禁用","联通","禁用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50050-50050)","10.40.0.8-10.40.0.8","22-22"
"(社)网上信息发布与咨询办理展示平台 测试 xt","启用","联通","禁用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50066-50066,50067-50067,50068-50068)","10.40.0.66-10.40.0.66","22-22,3306-3306,80-80"
"(社)网格化管理业务审批 xt","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50003-50003,50004-50004,50005-50005,50006-50006,60006-60006)","10.40.0.39-10.40.0.39","22-22,3306-3306,50005-50005,8083-8083,60006-60006"
"(社)网格化管理AS-xt","启用","联通","启用","ALL","123.132.252.12-123.132.252.12","TCP(0)to(50010-50010,50011-50011)","10.40.0.14-10.40.0.14","22-22,8083-8083"
"(社)电信社区服务平台-20151008-zh","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(80-80)","10.40.0.38-10.40.0.38","80-80"
"网络部SVN服务器-ljl-20151008","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(62332-62332,62333-62333,62331-62331,62334-62334)","10.20.24.85-10.20.24.85","62332-62332,3389-3389,3306-3306,8008-8008"
"【教育】开发区学校网站服务器-ljl","启用","联通","启用","ALL","123.132.252.24-123.132.252.24","TCP(0)to(80-80,61022-61022)","10.30.0.41-10.30.0.41","80-80,22-22"
"【教育】云平台监管平台A-ljl","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(12116-12116)","10.30.0.101-10.30.0.101","12116-12116"
"【教育】云平台监管平台B-ljl-20151009","启用","联通","启用","ALL","123.132.252.20-123.132.252.20","TCP(0)to(13116-13116)","10.30.0.102-10.30.0.102","13116-13116"
"【教育】云远程接入电信-ljl","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(42039-42039)","10.30.0.104-10.30.0.104","3389-3389"
"【教育】远程连接测试","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(33389-33389)","192.168.20.30-192.168.20.30","3389-3389"
"【教育】云电信80-ljl","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(80-80)","10.30.0.38-10.30.0.38","80-80"
"诚信云平台可信云测试用90909122-lts-20151023","启用","联通","启用","ALL","123.132.252.19-123.132.252.19","TCP(0)to(8081-8081,44122-44122)","10.20.24.144-10.20.24.144","80-80,22-22"
"华为平台银桥-lts-20151030","启用","联通","启用","ALL","123.132.252.28-123.132.252.28","TCP(0)to(7070-7070,8181-8181,63389-63389,6869-6869,211-211)","10.20.24.137-10.20.24.137","7070-7070,8181-8181,3389-3389,6869-6869,211-211"
